X,CH1,CH2,
Second,Volt,Volt,
-3.9999995e-02,5.60000e-02,7.60000e-02,
-3.9599996e-02,6.80000e-02,6.00000e-02,
-3.9199997e-02,2.80000e-02,7.60000e-02,
-3.8799997e-02,2.00000e-02,8.40000e-02,
-3.8399998e-02,3.20000e-02,6.00000e-02,
-3.7999995e-02,4.00000e-03,6.80000e-02,
-3.7599996e-02,-4.00000e-03,7.40000e-02,
-3.7199996e-02,4.00000e-03,5.80000e-02,
-3.6799997e-02,-4.00000e-03,5.60000e-02,
-3.6399998e-02,4.00000e-03,4.20000e-02,
-3.5999995e-02,-1.20000e-02,5.40000e-02,
-3.5599995e-02,-2.40000e-02,5.40000e-02,
-3.5199996e-02,-2.40000e-02,5.20000e-02,
-3.4799997e-02,-2.40000e-02,4.00000e-02,
-3.4399997e-02,-1.60000e-02,3.60000e-02,
-3.3999998e-02,-2.40000e-02,3.20000e-02,
-3.3599995e-02,-3.60000e-02,3.80000e-02,
-3.3199996e-02,-3.60000e-02,3.60000e-02,
-3.2799996e-02,-8.00000e-03,1.20000e-02,
-3.2399997e-02,-2.80000e-02,2.20000e-02,
-3.1999998e-02,-2.00000e-02,1.00000e-02,
-3.1599998e-02,-3.20000e-02,1.80000e-02,
-3.1199997e-02,-2.80000e-02,1.40000e-02,
-3.0799996e-02,-4.00000e-02,1.80000e-02,
-3.0399997e-02,-3.20000e-02,1.00000e-02,
-2.9999997e-02,-3.20000e-02,2.00000e-03,
-2.9599996e-02,-2.00000e-02,-2.00000e-03,
-2.9199997e-02,-2.40000e-02,-8.00000e-03,
-2.8799998e-02,-4.00000e-02,2.00000e-03,
-2.8399996e-02,-5.60000e-02,1.20000e-02,
-2.7999997e-02,-4.00000e-02,-8.00000e-03,
-2.7599998e-02,-3.60000e-02,-1.40000e-02,
-2.7199997e-02,-3.20000e-02,-1.80000e-02,
-2.6799997e-02,-4.40000e-02,-1.60000e-02,
-2.6399998e-02,-3.60000e-02,-2.60000e-02,
-2.5999997e-02,-5.60000e-02,-1.80000e-02,
-2.5599997e-02,-3.20000e-02,-4.00000e-02,
